Format type,Format subtype 1,Format subtype 2,Format,Section,QID,Question,Help,Weight,Dependency-Q,Dependency-A,Control,A1,A1 value,A2,A2 value,A3,A3 value,A4,A4 value,A5,A5 value,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Microfilm / Microfiche,Condition,11,"If microfilm, assess the integrity of the splices on this roll.  If microfiche, select ""No splices""","This question may involve unspooling the microfilm to answer. Unspooling is not without risk. If you are unable or unwilling to unspool the film and you have no supporting information which may answer this question, you may select ""Unsure"". 
If microfiche (film sheet), select ""No splices"".",2,,,,No splices,1,Splices - good,0.5,Splices - poor,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Use | Access,12,Is this item viewed/handled regularly?,"Handling and use carry risk, especially for formats requiring machine-mediated access. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Use | Access,13,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Use | Access,14,Do you have appropriate viewing equipment for this item?,Microfilm readers are required to fully view the information on this microcard. Without equipment this format may be at a higher preservation risk. Indicate whether you have the appropriate device for this particular microform.,1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Storage | Container,15,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Storage | Container,16,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Storage | Container,17,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Condition,18,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/emulsion, the image may yet be ""Excellent.""  
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Condition,19,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, gelatin emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Condition,20,Is the support yellowed and/or brittle?  This will be most evident along the paper's edges or back side,"Select the degree of the paper's acidic breakdown. Discoloration (i.e. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration may sometimes be more obvious on the back. If both yellowed and brittle, this paper support is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microcard,Condition,21,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
A microcard's Image/text tone may shift toward yellowish brown as it fades; silver mirroring (a metallic, bluish cast on the surface) is a common form of oxidative staining.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Use | Access,22,Is this item viewed/handled regularly?,"Handling and use carry risk, especially for formats requiring machine-mediated access. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Use | Access,23,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Use | Access,24,Do you have appropriate viewing equipment for this item?,A microfilm reader or similar magnification device is required to fully view the information on this microprint. Without equipment this format may be at a higher preservation risk. Indicate whether you have the appropriate device for this particular microform.,1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Storage | Container,25,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Storage | Container,26,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Storage | Container,27,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Condition,28,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If a support's corner is dented without clear damage to the image/text, it may yet be ""Excellent.""  
""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Image loss  (e.g. flaking, fragmenting) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparability.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Condition,29,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, gelatin emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Condition,30,Is the support yellowed and/or brittle? This will be most evident along the paper's edges or back side,"Select the degree of the paper's acidic breakdown. Discoloration (i.e. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration may sometimes be more obvious on the back. If both yellowed and brittle, this paper support is likely in an advanced stage of degradation.",8,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Microform,Paper,Microprint,Condition,31,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
A tonal shift of the microprint's image/text may not be clear in cases other than extreme fading. Furthermore, black ink is not given to fading; colored ink will, however. Other forms of surface staining may occur.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Use | Access,32,Is this item viewed/handled regularly?,"Handling and use carry risk, especially for formats requiring machine-mediated access. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Use | Access,33,"Are there additional copies, facsimiles, and/or access copies of this image?","Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"". Click through for more info about service copies.",1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Use | Access,34,Do you have appropriate viewing equipment for this item?,A microfilm reader or similar magnification device is required to view the information on the microfilm embedded in this aperture card. (One must assume the machine capable of reading the card's metadata is no longer operational.) Without equipment this format may be at a higher preservation risk. Indicate whether you have the appropriate device for this particular microform.,1.25,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Storage | Container,35,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Storage | Container,36,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Storage | Container,37,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Condition,38,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the microfilm image or card information at risk. If the non-image (shinier) side of the film is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent."" 
""Good"" to ""Critical"" can describe a range of scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Condition,39,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, gelatin emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,Microform,Plastic Film,Aperture Card,Condition,40,"If film cell is acetate or nitrate, what is the level of breakdown of the base?  If polyester, select ""No deterioration""","Acetate and nitrate films will decay in very different ways. Click through for more information on the levels of film base decay. 
If you think this film is polyester, or it displays none of the typical acetate or nitrate decay characteristics, select ""No deterioration"".",8,,,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Condition,41,Is the paper card yellowed and/or brittle?  This will be most evident along the edges or back side,"Select the degree of the paper's acidic breakdown. Discoloration (e.g. yellowing) typically precedes obvious brittle properties, showing up first along the edges. Discoloration may sometimes be more obvious on the back. If both yellowed and brittle, this paper support is likely in an advanced stage of degradation.",4,,,,Neither,1,"Yellowed, not brittle",0.67,"Brittle, yellowed",0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,Microform,Mixed,Aperture Card,Condition,42,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the film cell's image material has deteriorated, naturally or by external factors. 
Common forms of surface staining for silver gelatin photographic images include silver mirroring (metallic, bluish cast) and orange-yellow spotting (redox blemishes). Click through for more info, including examples.",6,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Use | Access,43,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Use | Access,44,Are there additional copies of this image (negative or positive) in your collections?,"Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"".",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Storage | Container,45,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Storage | Container,46,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Storage | Container,47,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Condition,48,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the film is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
 ""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable emulsion loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Condition,49,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Condition,50,"If acetate or nitrate, what is the level of breakdown of the base?  If polyester, select ""No deterioration""","Acetate and nitrate films will decay in very different ways. Click through for more information on the levels of film base decay. 
If you think this is polyester, or it displays none of the typical acetate or nitrate decay characteristics, select ""No deterioration"".",8,,,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Silver Gelatin Negative,Condition,51,"Assess the degree of image fading, discoloration, and/or staining","Determine the extent to which the image material has deteriorated, naturally or by external factors. 
Common forms of surface staining for silver gelatin photographic images include silver mirroring (metallic, bluish cast) and orange-yellow spotting (redox blemishes). Click through for more info, including examples.",10,,,,Slight/None,1,Moderate,0.5,Severe,0,Unsure,0.4,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Use | Access,52,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Use | Access,53,Are there additional copies of this image (negative or positive) in your collections?,"Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"".",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Storage | Container,54,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Storage | Container,55,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Storage | Container,56,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Condition,57,"What is the state of the image, in terms of physical damage sustained?","Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the film is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
 ""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Delamination or flaking (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable emulsion loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Condition,58,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Condition,59,"If acetate, what is the level of breakdown of the base?  If film is polyester, select ""No deterioration""","Acetate films will show its degradation in several stages. Click through for more information on the levels of acetate film base decay. 
If you think this is polyester, or it displays none of the typical acetate or nitrate decay characteristics, select ""No deterioration"".",8,,,,No deterioration,1,Deterioration starting,0.67,Actively deteriorating,0.33,Critical deterioration,0,Unsure,0.4,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Condition,60,Is the image clearly comprised of yellow/magenta/cyan or is there an overall red-orange tint?,"Chromogenic components and dye stability improved over time, most notably in 1947, when color stability and saturation was resolved by the addition of red-orange masking to the color negative. Up to that point, the negative image visibly comprised a complementary color set (yellow, magenta, and cyan). 
As a color negative's fading is nearly impossible to assess, we ask this question to determine the potential for image degradation.",10,,,,Red-orange tint,1,Yellow/magenta/cyan,0.2,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",Plastic Film Negative,Chromogenic Color Negative,Condition,61,Was this negative likely manufactured before the early 1980s?,"To identify the manufacture era of the negative, consider both the content of the image as well as the markings/codes along the edge. Making an educated guess is fine for this particular question. 
Like chromogenic prints, negatives prior to the 1980s may discolor as a result of severe thermal fading of the cyan dye and poor storage in high temperatures.",,60,Red-orange tint,,Yes,0.5,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Use | Access,62,Is this item viewed/handled regularly?,"Handling and use carry damage risks, regardless of intention. Click ""Yes"" if patrons (or staff) often handle this item and click ""No"" if not.",2.5,,,,Yes,0,No,1,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Use | Access,63,Are there additional copies of this image (negative or positive) in your collections?,"Select ""Yes"" if this content exists in another form at your institution; otherwise, select ""No"".",2.5,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Storage | Container,64,Is this item properly supported in storage?,"Each format has a preferred way of sitting in storage. If you are certain you know how your item should be oriented in storage and have stored it as such, select ""Yes""; otherwise, select ""No"". Click through for more information of how best to orient this item in storage.",1.8,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Storage | Container,65,Does this item have an appropriate container in good condition?,"Select ""Yes"" if this item is in a preservation appropriate container; otherwise, select ""No"". Click through to see examples of appropriate storage containers.",2,,,,Yes,1,No,0,Unsure,0.4,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Storage | Container,66,Does the container or item have any meaningful labeling?,"Select ""Yes"" if the item or its container have any identifying labeling; otherwise, select ""No"".",1.2,,,,Yes,1,No,0,,,,,,,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Condition,67,"What is the state of the image, in terms of physical damage sustained?"," Be mindful of damage that places the image or visual information at risk. If the non-image (shinier) side of the glass is scuffed without clear damage to the image/emulsion side, the image may be ""Good"" or even ""Excellent"". 
 ""Good"" to ""Critical"" can describe a range of image scratches, abrasions, or cracks. 
Emulsion delamination or broken glass (image loss) is inherently ""Serious"" or ""Critical"", depending on the degree of irreparable image loss.",16,,,,Excellent,1,Good,0.75,Fair,0.5,Serious,0.25,Critical,0,,,,,,,,,,,,,,
Photographic Material,"Negative (Glass, Film)",,Glass Negative,Condition,68,"Is this item exhibiting mold and/or pest (insect, rodent) damage? Check all that apply","Biological organisms such as mold, insects, and rodents can very easily damage collections, often irreversibly. If this item or its container seems to display pest damage or mold growth, select which (both if necessary). Click through for more information on pests and mold. 
Mold can stain and even weaken materials. Though mold growth can be halted, most staining is permanent. Mold will often appear as small spots, typically overlapping, patchy, and feathery at its edges. 
Pests will feed on a whole host of organic substances found in collections (i.e. cellulose, gelatin), eating through paper supports, media, emulsions, binding material, etc. ",6,,,checkboxes,Mold,0.5,Pest damage,0.5,,,,,,,,,,,,,,,,,,,,
